benchmark                            old ns/op     new ns/op     delta
BenchmarkDeleteEdge-8                16099         45008         +179.57%
BenchmarkDeleteEdge-8                16100         45010         +179.57%
BenchmarkFindEdgeLabel-8             448           448           +0.00%
BenchmarkFindEdgeLabel-8             448           448           +0.00%
BenchmarkFindEdgeLabel-8             448           448           +0.00%
BenchmarkFindEdgeLabel-8             448           448           +0.00%
BenchmarkFindEdgeLabel-8             448           448           +0.00%
BenchmarkFindEdgeLabel-8             448           448           +0.00%
BenchmarkFindEdgeLabel-8             448           448           +0.00%
BenchmarkFindEdgeLabel-8             448           448           +0.00%
BenchmarkFindEdgeLabel-8             448           448           +0.00%
BenchmarkFindEdgeLabel-8             448           448           +0.00%
BenchmarkFindEdgeProp-8              448           448           +0.00%
BenchmarkFindEdgeProp-8              448           448           +0.00%
BenchmarkFindEdgeProp-8              448           448           +0.00%
BenchmarkFindEdgeProp-8              448           448           +0.00%
BenchmarkFindEdgeProp-8              448           448           +0.00%
BenchmarkFindEdgeProp-8              448           448           +0.00%
BenchmarkFindEdgeProp-8              448           448           +0.00%
BenchmarkFindEdgeProp-8              448           448           +0.00%
BenchmarkFindEdgeProp-8              448           448           +0.00%
BenchmarkFindEdgeProp-8              448           448           +0.00%
BenchmarkClone-8                     3548          4564          +28.64%
BenchmarkClone-8                     3851          4453          +15.63%
BenchmarkClone-8                     3904          4466          +14.40%
BenchmarkClone-8                     3543          4445          +25.46%
BenchmarkClone-8                     3937          4498          +14.25%
BenchmarkClone-8                     3919          4494          +14.67%
BenchmarkClone-8                     3880          4451          +14.72%
BenchmarkClone-8                     3915          4508          +15.15%
BenchmarkClone-8                     3864          4454          +15.27%
BenchmarkClone-8                     3848          4460          +15.90%
BenchmarkAddNode-8                   1001          1065          +6.39%
BenchmarkAddNode-8                   1002          1076          +7.39%
BenchmarkAddNode-8                   865           1062          +22.77%
BenchmarkAddNode-8                   993           1056          +6.34%
BenchmarkAddNode-8                   1005          954           -5.07%
BenchmarkAddNode-8                   865           945           +9.25%
BenchmarkAddNode-8                   991           949           -4.24%
BenchmarkAddNode-8                   867           1084          +25.03%
BenchmarkAddNode-8                   992           947           -4.54%
BenchmarkAddNode-8                   997           1082          +8.53%
BenchmarkItrNodes1000-8              3             4             +33.33%
BenchmarkItrNodes1000-8              3             3             +0.00%
BenchmarkItrNodes1000-8              3             4             +33.33%
BenchmarkItrNodes1000-8              3             3             +0.00%
BenchmarkItrNodes1000-8              3             3             +0.00%
BenchmarkItrNodes1000-8              3             3             +0.00%
BenchmarkItrNodes1000-8              3             3             +0.00%
BenchmarkItrNodes1000-8              3             3             +0.00%
BenchmarkItrNodes1000-8              3             3             +0.00%
BenchmarkItrNodes1000-8              3             3             +0.00%
BenchmarkItrNodes10000-8             367           401           +9.26%
BenchmarkItrNodes10000-8             364           412           +13.19%
BenchmarkItrNodes10000-8             371           409           +10.24%
BenchmarkItrNodes10000-8             369           416           +12.74%
BenchmarkItrNodes10000-8             375           407           +8.53%
BenchmarkItrNodes10000-8             364           413           +13.46%
BenchmarkItrNodes10000-8             373           407           +9.12%
BenchmarkItrNodes10000-8             366           405           +10.66%
BenchmarkItrNodes10000-8             392           407           +3.83%
BenchmarkItrNodes10000-8             365           403           +10.41%
BenchmarkItrNodesViaIndex1000-8      729           713           -2.19%
BenchmarkItrNodesViaIndex1000-8      773           712           -7.89%
BenchmarkItrNodesViaIndex1000-8      820           716           -12.68%
BenchmarkItrNodesViaIndex1000-8      738           712           -3.52%
BenchmarkItrNodesViaIndex1000-8      702           710           +1.14%
BenchmarkItrNodesViaIndex1000-8      707           712           +0.71%
BenchmarkItrNodesViaIndex1000-8      707           712           +0.71%
BenchmarkItrNodesViaIndex1000-8      728           712           -2.20%
BenchmarkItrNodesViaIndex1000-8      728           712           -2.20%
BenchmarkItrNodesViaIndex1000-8      703           702           -0.14%
BenchmarkItrNodesViaIndex10000-8     15422         10719         -30.50%
BenchmarkItrNodesViaIndex10000-8     13300         11922         -10.36%
BenchmarkItrNodesViaIndex10000-8     15233         12150         -20.24%
BenchmarkItrNodesViaIndex10000-8     10612         11799         +11.19%
BenchmarkItrNodesViaIndex10000-8     15215         11935         -21.56%
BenchmarkItrNodesViaIndex10000-8     16473         11760         -28.61%
BenchmarkItrNodesViaIndex10000-8     14548         10761         -26.03%
BenchmarkItrNodesViaIndex10000-8     11754         11875         +1.03%
BenchmarkItrNodesViaIndex10000-8     12866         12021         -6.57%
BenchmarkItrNodesViaIndex10000-8     13980         11851         -15.23%
BenchmarkCreateEdge-8                96205         96146         -0.06%
BenchmarkCreateEdge-8                96166         96136         -0.03%
BenchmarkCreateEdge-8                96193         96133         -0.06%
BenchmarkCreateEdge-8                96149         96138         -0.01%
BenchmarkCreateEdge-8                96138         96136         -0.00%
BenchmarkCreateEdge-8                96134         96140         +0.01%
BenchmarkCreateEdge-8                96146         96139         -0.01%
BenchmarkCreateEdge-8                96147         96141         -0.01%
BenchmarkCreateEdge-8                96141         96143         +0.00%
BenchmarkCreateEdge-8                96157         96130         -0.03%
BenchmarkItrAllEdge-8                51            52            +1.96%
BenchmarkItrAllEdge-8                51            51            +0.00%
BenchmarkItrAllEdge-8                52            51            -1.92%
BenchmarkItrAllEdge-8                51            51            +0.00%
BenchmarkItrAllEdge-8                51            51            +0.00%
BenchmarkItrAllEdge-8                51            51            +0.00%
BenchmarkItrAllEdge-8                51            51            +0.00%
BenchmarkItrAllEdge-8                51            52            +1.96%
BenchmarkItrAllEdge-8                51            52            +1.96%
BenchmarkItrAllEdge-8                51            52            +1.96%
BenchmarkItrNodeEdges-8              48174         48255         +0.17%
BenchmarkItrNodeEdges-8              48174         48415         +0.50%
BenchmarkItrNodeEdges-8              48175         48340         +0.34%
BenchmarkItrNodeEdges-8              48173         48413         +0.50%
BenchmarkItrNodeEdges-8              48173         48436         +0.55%
BenchmarkItrNodeEdges-8              48177         48336         +0.33%
BenchmarkItrNodeEdges-8              48178         48302         +0.26%
BenchmarkItrNodeEdges-8              48174         48301         +0.26%
BenchmarkItrNodeEdges-8              48173         48186         +0.03%
BenchmarkItrNodeEdges-8              48175         48179         +0.01%
